asset_id,subcomponent_id,asset_name,major_component,material_type,maintainance_schedule_name,next_due_date
F102,,Inclined tunnel conv.,Inclined rubber conveyor belt,Rubber conveyor belt,,
,F102M,Gearmotor,GEAR MOTOR RF27 DTE90L4,Gearmotor,,
F104,,Horizontal tunnel conv.,Horizontal tunnel conv.,Rubber conveyor belt,,
,F104M,Gearmotor,GEAR MOTOR RF27 DTE90L4,Gearmotor,,
F106,,75 Curve conveyor infeed,75 Curve Conveyor,Curve Belt,,
,F106P,Drive Pulley,Drive Pulley Assmebly- 75C,Drive Pulley,,
,F106M,Gearmotor,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,
F008,,Wall infeed conveyor Top,Wall mounted rubber conveyor,Rubber conveyor belt,,
,F008M,Gearmotor,GEAR MOTOR RF27 DTE90L4,Gearmotor,,
F010,,Wall roller bed Top,Wall mounted roller bed,SRF tilted roller conveyor,,
,F010M,Gearmotor,GEAR MOTOR FH67 CM90M,Gearmotor,,
F012,,"90 Curve conv, Pre-decline",90 Curve Cnveyor,Curve Belt,,
,F012P,Drive Pulley,Drive Pulley Assmebly- 90C,Drive Pulley,,
,F012M,Gearmotor,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,
F014,,Decline ifeed conveyor,Inclined rubber conveyor belt,Rubber conveyor belt,,
,F014M,Gearmotor,GEAR MOTOR RF27 DTE90L4,Gearmotor,,
F016,,Infeed accumulatrion roller bed,Accumulation Roller Bed,Powered roller bed,,
,F016M,Gearmotor,TBC,Gearmotor,,
F018,,Gaping conveyor 1 infeed,Green gapping conveyor,Rubber conveyor belt,,
,F018M,Gearmotor,GEAR MOTOR RF27 CM71M,Gearmotor,,
F020,,Gaping conveyor 2 infeed,Green gapping conveyor,Rubber conveyor belt,,
,F020M,Gearmotor,GEAR MOTOR RF27 CM71M,Gearmotor,,
S002,,Merge conveyor,Merge conveyor- S002,Rubber conveyor belt,,
,S002M,Gearmotor,GEAR MOTOR RF37 DTE90K4,Gearmotor,,
,S002MP1,Gearmotor,GEAR MOTOE RF07 DR63L4,Gearmotor,,
S004V,,Post-merge roller bed,Powered Roller Bed,SRF tilted roller conveyor,,
,S004M,Gearmotor,HELICAL GEAR MOTOR M3 180/2,Gearmotor,,
S006,,"90 Curve conv, Pre-merge",90 Curve Cnveyor,Curve Belt,,
,S006P,Drive Pulley,Drive Pulley Assmebly- 90C,Drive Pulley,,
,S006M,Gearmotor,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,
S008,,Mezzanine longitudinal conveyor,Mezzanine longitudinal conveyor- S008,Rubber conveyor belt,,
,S008M,Gearmotor,GEAR MOTOR RF27 DTE90L4,Gearmotor,,
S010,,Gapping conveyor 3 pre-sort,Rubber Gapping Conveyor,Rubber conveyor belt,,
,S010M,Gearmotor,SA 47 DRE90m4BE1/mm15(44913),Gearmotor,,
S012,,Gapping conveyor 4 pre-sort,Rubber Gapping Conveyor,Rubber conveyor belt,,
,S012M,Gearmotor,SA 47 DRE90m4BE1/mm15(44913),Gearmotor,,
S014,,90 Curved conv. Pre-sort,90 Curve Cnveyor,Curve Belt,,
,S014P,Drive Pulley,Drive Pulley Assmebly- 90C,Drive Pulley,,
,S014M,Gearmotor,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,
S106,,Gapping conveyor 5 pre-sort,Rubber Gapping Conveyor,Rubber conveyor belt,,
,S016M,Gearmotor,SA 47 DRE90m4BE1/mm15(44913),Gearmotor,,
S018,,Pre-sort conveyor,Sorter rubber conveyor,Rubber conveyor belt,,
,S018M,Gearmotor,Sa 47 DRE90m4BE1/mm15(44913),Gearmotor,,
S020,,Shoe-sorter,TGW Natrix Shoe Sorter,Shoe Sorter,,
,S020L,Lubrication Syatem,Sorter Lubrication,Lubrication,,
,S020M,Gearmotor,GEAR MOTOR KH67 DVE100L4,Gearmotor,,
,S020PC,PC Control Hardware,Dexion Control RDS,Hardware,,
S022,,Post-sort conveyor,Sorter rubber conveyor,Rubber conveyor belt,,
,S022M,Gearmotor,SA 47 DRE90m4BE1/mm15(44913),Gearmotor,,
S024,,Curved conveyor Post-sort,90 Curve Conveyor,Curve Belt,,
,S024P,Drive Pulley,Drive Pulley Assembly - 90C,Drive Pulley,,
,S024M,Gearmotor,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,
S026,,Wall recirc. Conveyor Bottom,Wall mounted rubber conveyor,Rubber conveyor belt,,
,S026M,Gearmotor,GEAR MOTOR RF27 DTE90L4,Gearmotor,,
S028,,Wall roller bed Bottom,Wall mounted roller bed,SRF tilted roller conveyor,,
,S028M,Gearmotor,SPUR GEAR MOTOR M3 180/2,Gearmotor,,
S030,,Curved conveyor Recirc.,90 Curve Conveyor,Curve Belt,,
,S030P,Drive Pulley,Drive Pulley Assembly - 90C,Drive Pulley,,
,S030M,Gearmotor,GEAR MOTOR SA47 DRE90M4BE1,Gearmotor,,
S032,,Recirc. Rubber conveyor,Recirc Rubber conveyor,Rubber conveyor belt,,
,S032M,Gearmotor,GEAR MOTOR RF27 DTE90L4,Gearmotor,,
S034,,Recirc. Accumulation roller bed,Accumulation Roller Bed,Powered roller bed,,
,S034M,Gearmotor,TBC,Gearmotor,,
S036,,Gapping conveyor 3 Recirc.,Green gapping conveyor,Rubber conveyor belt,,
,S036M,Gearmotor,GEAR MOTOR RF27 CM71M,Gearmotor,,
S038,,Gapping conveyor 4 Recirc.,Green gapping conveyor,Rubber conveyor belt,,
,S038M,Gearmotor,GEAR MOTOR RF27 CM71M,Gearmotor,,